"id";"link";"title";"DE"
1;"https://www.ctolib.com/AndroidWiFiADB.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""IntelliJ/AndroidStudio插件提供一个按纽用于通过WiFi连接你的Android设备来安装、运行和调试你的应用程序而不需要一个USB连接";"IntelliJ/AndroidStudio插件通过WiFi连接你的Android设备来安装、运行和调试App";"Android Studio插件"
2;"https://www.ctolib.com/thingsboard.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Thingsboard：开源 IoT 平台，设备管理，数据收集，处理和可视化 ";"Thingsboard：开源 IoT 平台，设备管理，数据收集，处理和可视化 ";"Android Studio插件"
3;"https://www.ctolib.com/KnowWeather.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""KnowWeather：一个漂亮的天气应用";"KnowWeather：一个漂亮的天气应用";"Android Studio插件"
4;"https://www.ctolib.com/niorgai-Android-Resource-Usage-Count.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Android-Resource-Usage-Count一个Android资源使用计数插件";"Android-Resource-Usage-Count一个Android资源使用计数插件";"Android Studio插件"
5;"https://www.ctolib.com/SeatTable.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Android电影票在线选座";"Android电影票在线选座";"Android Studio插件"
6;"https://www.ctolib.com/MVPHelper.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一款Intellj IDEA 和Android Studio 自动生成MVP模式所需接口以及实现类的插件";"一款Intellj IDEA 和Android Studio 自动生成MVP模式所需接口以及实现类的插件";"Android Studio插件"
7;"https://www.ctolib.com/overlaypermission.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""悬浮窗权限是特殊权限(Special Permissions)需要在manifest中申请并且通过发送Intent让用户在设置界面进行勾选";"悬浮窗权限兼容库";"Android Studio插件"
8;"https://www.ctolib.com/androidstudio-plugins.html";"AndroidStudio 优秀插件汇总";"Android Studio插件"
9;"https://www.ctolib.com/Jamling-SmartQQ4IntelliJ.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""IntelliJ IDEA上的SmartQQ插件，可以在IDEA中使用QQ聊天";"IntelliJ IDEA上的SmartQQ插件，可以在IDEA中使用QQ聊天";"Android Studio插件"
10;"https://www.ctolib.com/agoda-com-Kakao.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Nice and simple DSL for Espresso in Kotlin";"Nice and simple DSL for Espresso in Kotlin";"Android Studio插件"
11;"https://www.ctolib.com/Karumi-ExpandableSelector.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一个Android库实现在折叠或展开的动画容器中显示Button/ImageButton小部件列表";"一个Android库实现在折叠或展开的动画容器中显示Button/ImageButton小部件列表";"Android Studio插件"
12;"https://www.ctolib.com/rootbeer.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""RootBeer：简化root检查的Android库和示例App";"RootBeer：简化root检查的Android库和示例App";"Android Studio插件"
13;"https://www.ctolib.com/pengwei1024-AndroidSourceViewer.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""线查看对比 Android 和 Java 任意版本源码的Android Studio 插件";"Android Studio 在线查看 Android 和 Java 指定版本源码插件";"Android Studio插件"
14;"https://www.ctolib.com/tianzhijiexian-SelectorInjection.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一个强大的selector注入器，它可以让view自动产生selector状态，免去了写selector文件的麻烦。";"SelectorInjection 一个强大的selector注入器";"Android Studio插件"
15;"https://www.ctolib.com/RoboPOJOGenerator.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""IntelliJ IDEA/Android studio 插件实现Json生成POJO (GSON, Logan Square)";"IntelliJ IDEA/Android studio 插件实现Json生成POJO (GSON, Logan Square)";"Android Studio插件"
16;"https://www.ctolib.com/android-transition.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Android-Transition - 允许在Android UI的状态更改时轻松创建动画过渡效果";"Android-Transition - 允许在Android UI的状态更改时轻松创建动画过渡效果";"Android Studio插件"
17;"https://www.ctolib.com/Android-Studio-MVP-template.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Android MVP template for Android Studio";"这是一个Android Studio的MVP模板";"Android Studio插件"
18;"https://www.ctolib.com/AceJump.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一个IntelliJ平台的插件，让你跳转到编辑器中的任何符号只需几个击键。";"AceJump是单个字符搜索，选择和跳转的一个IntelliJ平台插件";"Android Studio插件"
19;"https://www.ctolib.com/DoorSignView.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""DoorSignView：可定制、传感器支持的门标志安卓定制视图";"DoorSignView：可定制、传感器支持的门标志安卓定制视图";"Android Studio插件"
20;"https://www.ctolib.com/checkstyle-idea.html";"IntelliJ IDEA的CheckStyle插件";"Android Studio插件"
21;"https://www.ctolib.com/jetbrains-wakatime.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一款 IDE 的插件，可以记录你使用 IDE 的时长。IntelliJ IDEA, PyCharm, RubyMine, PhpStorm, AppCode, AndroidStudio &amp; WebStorm ";"一款 IDE 的插件，可以记录你使用 IDE 的时长";"Android Studio插件"
22;"https://www.ctolib.com/StickySwitch.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""StickySwitch 包含粘性动画的漂亮开关部件";"StickySwitch 包含粘性动画的漂亮开关部件";"Android Studio插件"
23;"https://www.ctolib.com/scana-ok-gradle.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""IntelliJ/Android Studio插件用于搜索热门Java库的artifacts ids";"IntelliJ/Android Studio插件用于搜索热门Java库的artifacts ids";"Android Studio插件"
24;"https://www.ctolib.com/JessYanCoding-MVPArmsTemplate.html";"MVPArmsTemplate 是为创建MVPArms Page的一个Android Studio模板";"Android Studio插件"
25;"https://www.ctolib.com/nekocode-DividerDrawable.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""DividerDrawable 使用Drawable来绘制分割线";"DividerDrawable 使用Drawable来绘制分割线";"Android Studio插件"
26;"https://www.ctolib.com/BorePlugin.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""可以让你在Activity/Fragment中自动生成findViewById等布局相关初始化代码 或者在Adapter中自动生成ViewHolder代码";"Android Studio 自动生成布局代码插件";"Android Studio插件"
27;"https://www.ctolib.com/wajahatkarim3-MediumClap-Android.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""自定义浮动操作按钮（FAB）库，如Medium上的鼓掌效果";"自定义浮动操作按钮（FAB）库，如Medium上的鼓掌效果";"Android Studio插件"
28;"https://www.ctolib.com/mistamek-Android-drawable-preview-plugin.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""用于预览drawables的Android studio插件";"用于预览drawables的Android studio插件";"Android Studio插件"
29;"https://www.ctolib.com/GradleDependenciesHelperPlugin.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""GradleDependenciesHelperPlugin - Gradle 依赖自动补全插件 ";"GradleDependenciesHelperPlugin - Gradle 依赖自动补全插件 ";"Android Studio插件"
30;"https://www.ctolib.com/sunzq19931016-Android-Studio-Plugins-cn.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""希望整理Android Studio 最全面的开发插件。";"希望整理Android Studio 最全面的开发插件。";"Android Studio插件"
31;"https://www.ctolib.com/Lemniscate.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Lemniscate 一个简单的方法让您的进度视图漂亮和时尚";"Lemniscate 一个简单的方法让您的进度视图漂亮和时尚";"Android Studio插件"
32;"https://www.ctolib.com/android-studio-template.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""a template of  model activity for adnroid studio 。一个自定义的activity模板。";"a template of  model activity for adnroid studio 。一个自定义的activity模板。";"Android Studio插件"
33;"https://www.ctolib.com/UCodeUStory-GradlePlugin.html";"AndroidStudio开发gradle插件";"Android Studio插件"
34;"https://www.ctolib.com/ParsingPlayer.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""ParsingPlayer 播放来自youku.com和其他视频网站的视频播放器";"ParsingPlayer 播放来自youku.com和其他视频网站的视频播放器";"Android Studio插件"
35;"https://www.ctolib.com/ApkMultiChannelPlugin.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Android 多渠道打包的 Android Studio / IDEA 插件";"Android 多渠道打包的 Android Studio / IDEA 插件";"Android Studio插件"
36;"https://www.ctolib.com/AlphabetIndex-Fast-Scroll-RecyclerView.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Android RecyclerView的强大字母索引FastScroller";"Android RecyclerView的强大字母索引FastScroller";"Android Studio插件"
