"id";"link";"title";"DE"
1;"https://www.ctolib.com/facebook-watchman.html";"Watchman Facebook的用于监控文件变更的服务";"BitTorrent库"
2;"https://www.ctolib.com/qbittorrent-qBittorrent.html";"qBittorrent - 一个使用C++/Qt编写的Bittorrent客户端";"BitTorrent库"
3;"https://www.ctolib.com/blackbird.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Blackbird Bitcoin Arbitrage是一个C ++交易系统，在比特币交易所之间进行自动长/短套利";"Blackbird Bitcoin Arbitrage是一个C ++交易系统，在比特币交易所之间进行自动长/短套利";"BitTorrent库"
4;"https://www.ctolib.com/jarun-nnn.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""nnn: 一个快速轻便的终端文件浏览器，是Noice的一个分支。能够通过简便的键盘快捷键进行导航，打开文件和运行任务";"nnn: 一个快速轻便的终端文件浏览器";"BitTorrent库"
5;"https://www.ctolib.com/ckb-next-ckb-next.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Linux和OS X的RGB驱动器。RGB Driver for Linux and OS X。";"ckb-next: 是Linux和OS X的RGB驱动器";"BitTorrent库"
6;"https://www.ctolib.com/aircrack-ng-aircrack-ng.html";"Aircrack-ng一整套评估WiFi网络安全的工具";"BitTorrent库"
7;"https://www.ctolib.com/nccl.html";"NCCL - Optimized primitives for collective multi-GPU communication";"BitTorrent库"
8;"https://www.ctolib.com/libutp.html";"libutp - uTorrent 传输协议库";"BitTorrent库"
9;"https://www.ctolib.com/vvanders-wasm_lua.html";"Lua VM在WASM环境中运行";"BitTorrent库"
10;"https://www.ctolib.com/dhtBitTorrent.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""jech/dht - BitTorrent DHT的C语言库";"jech/dht - BitTorrent DHT的C语言库";"BitTorrent库"
11;"https://www.ctolib.com/hi2p-perim-minpt.html";"minpt: 用300行C ++代码实现的路径跟踪器";"BitTorrent库"
12;"https://www.ctolib.com/transmission-transmission.html";"Transmission 一个快速，简单，免费的BitTorrent客户端";"BitTorrent库"
13;"https://www.ctolib.com/CS_Offer.html";"计算机学科基础知识和主流编程语言相关内容的总结";"BitTorrent库"
14;"https://www.ctolib.com/spacehuhn-ArduinoPcap.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""ArduinoPcap 用于为Wireshark和其他程序创建和发送.pcap文件的C++库";"ArduinoPcap 用于为Wireshark和其他程序创建和发送.pcap文件的C++库";"BitTorrent库"
15;"https://www.ctolib.com/libtorrent.html";"libtorrent 一个高效功能完整的 C++ bittorrent 实现";"BitTorrent库"
16;"https://www.ctolib.com/airbus-seclab-crashos.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一个致力于通过创建异常系统配置来研究虚拟机管理程序漏洞的工具。 CrashOS是一个极简操作系统，旨在导致管理程序崩溃，因此名称。 您可以启动现有的测试或实现您自己的，并观察管理程序对这个不寻常内核的行为。";"CrashOS 一个致力于通过创建异常系统配置来研究虚拟机管理程序漏洞的工具";"BitTorrent库"
17;"https://www.ctolib.com/dlunion-CaffeLSTM-OCR.html";"基于caffe的LSTM OCR案例";"BitTorrent库"
18;"https://www.ctolib.com/jaredly-reason-websocket.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一个用于原生websocket服务器开发的库";"一个用于原生websocket服务器开发的库";"BitTorrent库"
