"id";"link";"title";"DE"
1;"https://www.ctolib.com/gitpitch-gitpitch.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""GitPitch 基于 Markdown 的幻灯片";"GitPitch 基于 Markdown 的幻灯片";"简化Java Bean映射的框架"
2;"https://www.ctolib.com/modelmapper.html";"ModelMapper ：一个智能对象映射库";"简化Java Bean映射的框架"
3;"https://www.ctolib.com/orika.html";"Orika：一个Java Bean映射框架";"简化Java Bean映射的框架"
4;"https://www.ctolib.com/admin.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""基于Spring Boot/Spring Security/thymeleaf的通用后台管理系统";"基于Spring Boot/Spring Security/thymeleaf的通用后台管理系统";"简化Java Bean映射的框架"
5;"https://www.ctolib.com/dlemmermann-PreferencesFX.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""PreferencesFX - 轻松创建用于应用程序设置/首选项的UI的框架";"PreferencesFX - 轻松创建用于应用程序设置/首选项的UI的框架";"简化Java Bean映射的框架"
6;"https://www.ctolib.com/zhangdaiscott-jeecg.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""随着 WEB UI 框架 ( EasyUI/Jquery UI/Ext/DWZ) 等的逐渐成熟,系统界面逐渐实现统一化，代码生成器也可以生成统一规范的界面！ 代码生成+手工MERGE半智能开发将是新的趋势，单表数据模型和一对多数据模型的增删改查功能直接生成使用,可节省60%工作量，快速提高开发效率！！！";"JEECG 基于代码生成器的智能开发平台";"简化Java Bean映射的框架"
7;"https://www.ctolib.com/mapstruct.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""MapStruct - 简化不同类型bean之间映射的代码生成器，基于一个约定优于配置的方式。";"MapStruct - 简化不同类型bean之间映射的代码生成器";"简化Java Bean映射的框架"
8;"https://www.ctolib.com/dozer.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Dozer是一个Java Bean至Java Bean映射器， 采用递归的方式将数据从一个对象复制到另一个对象。";"Dozer：一个Java Bean至Java Bean映射器";"简化Java Bean映射的框架"
9;"https://www.ctolib.com/tamper.html";"tamper是一款处理bean/map进行属性复制映射的工具，支持递归，集合等深度映射.";"简化Java Bean映射的框架"
10;"https://www.ctolib.com/selma.html";"Selma是一个基于注释处理器的Bean映射器";"简化Java Bean映射的框架"
11;"https://www.ctolib.com/JsonSurfer.html";"JsonSurfer：流式JsonPath处理器专用于处理大而复杂的JSON数据";"简化Java Bean映射的框架"
12;"https://www.ctolib.com/whoismy8023-SPPanAdmin.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""系统管理后台基本框架SPPanAdmin，包括用户管理，角色管理，资源链接管理模块，可以动态分配权限和角色。";"基于springboot的后台管理系统基本框架";"简化Java Bean映射的框架"
13;"https://www.ctolib.com/tjitze-RankPL.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""RankPL是一种建模语言，旨在通过将“正常”与“令人惊讶”事件区分开来，表现出无法表达的不确定性。你可以认为它是一种概率编程语言的定性变体。实际上它是一种常规的编程语言通过扩展语句 ";"RankPL是一种建模语言，旨在通过将“正常”与“令人惊讶”事件区分开来，表现出无法表达的不确定性";"简化Java Bean映射的框架"
14;"https://www.ctolib.com/easy-mapper.html";"Easy-mapper – 一个灵活可扩展的高性能Bean mapping类库";"简化Java Bean映射的框架"
15;"https://www.ctolib.com/KillOver-ExpressionEvaluator.html";"ExpressionEvaluator是一个用来对表达式进行求值的Java库";"简化Java Bean映射的框架"
16;"https://www.ctolib.com/java-tutorial.html";"Java系列教程";"简化Java Bean映射的框架"
17;"https://www.ctolib.com/design-pattern.html";"这个项目工程是用java实现的23种设计模式";"简化Java Bean映射的框架"
18;"https://www.ctolib.com/mvc.html";"以Springmvc架构搭建最简单的web项目，做为一个引子";"简化Java Bean映射的框架"
19;"https://www.ctolib.com/Alexisme1995-SupermarketManager.html";"一个精简的超市后台管理系统，麻雀虽小，五脏俱全";"简化Java Bean映射的框架"
20;"https://www.ctolib.com/micro-file.html";"文件微服务，实现基于云服务和本地文件存储的微服务";"简化Java Bean映射的框架"
21;"https://www.ctolib.com/ChatRoom-Netty.html";"使用Netty搭建的聊天室";"简化Java Bean映射的框架"
22;"https://www.ctolib.com/java-signature.html";"Java 签名包[目前还不包括验证]";"简化Java Bean映射的框架"
23;"https://www.ctolib.com/bsoneer.html";"Mongo 3.0是一个用于从现有bean生成代码的库";"简化Java Bean映射的框架"
24;"https://www.ctolib.com/Martion2017-ApplicationDetection.html";"基于spring boot 的Tomcat 状态监测，主机javaCpu监测";"简化Java Bean映射的框架"
25;"https://www.ctolib.com/IMAS-ML-event-ranking-list.html";"这是一个用于查看Million Live活动排名的小工具";"简化Java Bean映射的框架"
26;"https://www.ctolib.com/cag2050-spring_boot_simple_rest.html";"spring boot搭建restful（只添加了controller）";"简化Java Bean映射的框架"
