"id";"link";"title";"DE"
1;"https://www.ctolib.com/alibaba-ice.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""海量可复用物料，通过 GUI 工具极速构建中后台应用";"海量可复用物料，通过 GUI 工具极速构建中后台应用";"CSS相关的框架等资源"
2;"https://www.ctolib.com/spectre.html";"Spectre.css -一个轻量级的、响应式和现代CSS框架";"CSS相关的框架等资源"
3;"https://www.ctolib.com/WOW.html";"WOW.js-元素在页面滚动时展示CSS3动画JS插件";"CSS相关的框架等资源"
4;"https://www.ctolib.com/BcRikko-NES-css.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""NES.css是一个NES风格（类似8bit）的CSS框架";"NES.css是一个NES风格（类似8bit）的CSS框架";"CSS相关的框架等资源"
5;"https://www.ctolib.com/tailwindcss-tailwindcss.html";"Tailwind CSS 一个实用第一的CSS框架，用于快速构建自定义UI ";"CSS相关的框架等资源"
6;"https://www.ctolib.com/mrholek-CoreUI-Free-Bootstrap-Admin-Template.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""CoreUI一个支持Angular2，AngularJS，React.js和Vue.js的免费bootstrap管理模板";"CoreUI一个支持Angular2，AngularJS，React.js和Vue.js的免费bootstrap管理模板";"CSS相关的框架等资源"
7;"https://www.ctolib.com/coreui-coreui-free-bootstrap-admin-template.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""CoreUI 一个免费的bootstrap后台管理模板";"CoreUI 一个免费的bootstrap后台管理模板";"CSS相关的框架等资源"
8;"https://www.ctolib.com/GitSquared-edex-ui.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""eDEX-UI 是一个类似于科幻电脑界面的全屏桌面应用程序，深受DEX-UI和TRON Legacy电影效果的启发。 它在真实终端中运行您选择的shell，并显示有关系统的实时信息。 它被用于大型触摸屏，但可以在普通台式电脑或平板电脑或其中一款带触摸屏的时髦360°笔记本电脑上使用。";"eDEX-UI 是一个类似于科幻电脑界面的全屏桌面应用程序";"CSS相关的框架等资源"
9;"https://www.ctolib.com/tkh44-emotion.html";"css prop for all";"CSS相关的框架等资源"
10;"https://www.ctolib.com/mdbootstrap-bootstrap-material-design.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""400多个素材UI元素，600多个素材图标，74个CSS动画，SASS文件，模板，教程等等。";"Material Design for Bootstrap - Bootstrap 4强大而免费的 UI 套件";"CSS相关的框架等资源"
11;"https://www.ctolib.com/zuiidea-antd-admin.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""AntD Admin 一套优秀的中后台前端解决方案，基于 Ant Design 和 UmiJS 构建";"AntD Admin 一套优秀的中后台前端解决方案";"CSS相关的框架等资源"
12;"https://www.ctolib.com/jupyter-themes.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""jupyterthemes 自定义Jupyter Notebook 主题";"jupyterthemes 自定义Jupyter Notebook 主题";"CSS相关的框架等资源"
13;"https://www.ctolib.com/chokcoco-iCSS.html";"谈谈一些有趣的 CSS 话题";"CSS相关的框架等资源"
14;"https://www.ctolib.com/screenfull-js.html";"这是一款效果相当炫酷的jQuery和css3响应式带全屏模式的图片画廊插件";"CSS相关的框架等资源"
15;"https://www.ctolib.com/polished.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""polished 一种用于在JavaScript中编写样式的轻量级工具集";"polished 一种用于在JavaScript中编写样式的轻量级工具集";"CSS相关的框架等资源"
16;"https://www.ctolib.com/ecrmnn-collect-js.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""collect.js：用于处理数组和对象的便利并且无依赖的JS库";"collect.js：用于处理数组和对象的便利并且无依赖的JS库";"CSS相关的框架等资源"
17;"https://www.ctolib.com/icono.html";"ICONO是一款使用纯CSS3制作的一套非常精美的CSS图标";"CSS相关的框架等资源"
18;"https://www.ctolib.com/csshake.html";"csshake是一款非常强大的CSS3元素抖动动画库插件";"CSS相关的框架等资源"
19;"https://www.ctolib.com/prefixfree.html";"prefixfree 用了它，写css时，就不需要加浏览器的前缀了";"CSS相关的框架等资源"
20;"https://www.ctolib.com/cssanimation-css-animation-101.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""CSS Animation 101：从零开始介绍 CSS 动画开源电子书";"CSS Animation 101：从零开始介绍 CSS 动画开源电子书";"CSS相关的框架等资源"
21;"https://www.ctolib.com/basicScroll.html";"用CSS变量实现独立的视差滚动支持移动和桌面";"CSS相关的框架等资源"
22;"https://www.ctolib.com/ShapeShifter.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Shape Shifter：一个web应用程序，简化了创建基于SVG的路径变形动画的过程。";"Shape Shifter：一个SVG path morphing动画编辑器";"CSS相关的框架等资源"
23;"https://www.ctolib.com/webpack-contrib-sass-loader.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""webpack的Sass loader，用于将Sass编译成CSS";"webpack的Sass loader，用于将Sass编译成CSS";"CSS相关的框架等资源"
24;"https://www.ctolib.com/marketch.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Marketch是一个自动生成HTML页面的Sketch3插件，它可以准确地测量和得到这个HTML页面的CSS样式";"Marketch是一个自动生成HTML页面的Sketch3插件，它可以准确地测量和得到这个HTML页面的CSS样式";"CSS相关的框架等资源"
25;"https://www.ctolib.com/webpack-contrib-mini-css-extract-plugin.html";"轻量级CSS提取插件";"CSS相关的框架等资源"
26;"https://www.ctolib.com/midwayjs-pandora.html";"一个用于Node.js程序强大而轻量级的应用程序管理器";"CSS相关的框架等资源"
27;"https://www.ctolib.com/ng-alain-ng-alain-.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一个基于 Antd 中后台前端解决方案，提供更多通用性业务模块，让开发者更加专注于业务";"ng-alain：一个基于 Antd 中后台前端解决方案，提供更多通用性业务模块";"CSS相关的框架等资源"
28;"https://www.ctolib.com/cipchk-ng-alain.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""ng-zorro-antd一个后台管理面板的前端框架";"ng-zorro-antd一个后台管理面板的前端框架";"CSS相关的框架等资源"
29;"https://www.ctolib.com/rikschennink-fitty.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Fitty通过JavaScript让文字完美适合其容器。 理想的灵活和响应的网站";"Fitty通过JavaScript让文字完美适合其容器";"CSS相关的框架等资源"
30;"https://www.ctolib.com/Font-Awesome.html";"Font Awesome：图标字体和 CSS 框架";"CSS相关的框架等资源"
31;"https://www.ctolib.com/animate-css.html";"animate.css：使用方便，跨浏览器的CSS3动画库";"CSS相关的框架等资源"
32;"https://www.ctolib.com/materialize.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Materialize  是一个基于材料设计的一个现代化的响应式前端框架。他们做了最繁重的工作，为您提供默认的样式，结合了您的自定义组件。此外，他们还改进动画和过渡，为开发人员提供流畅的体验。";"Materialize  是一个基于Material Design的一个CSS框架";"CSS相关的框架等资源"
33;"https://www.ctolib.com/impress-js.html";"impress.js：基于CSS3的Web幻灯片展示框架";"CSS相关的框架等资源"
34;"https://www.ctolib.com/bulma.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""基于Flexbox的现代CSS框架";"基于Flexbox的现代CSS框架";"CSS相关的框架等资源"
35;"https://www.ctolib.com/autoprefixer.html";"SpinKit是一组效果非常酷的纯CSS3 Loading指示器动画特效";"CSS相关的框架等资源"
36;"https://www.ctolib.com/uikit-uikit.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""UIkit 一个轻量级和模块化的前端框架，用于快速开发强大的Web界面";"UIkit 一个轻量级和模块化的前端框架，用于快速开发强大的Web界面";"CSS相关的框架等资源"
37;"https://www.ctolib.com/css-protips.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""CSS Protips 帮助你提高CSS技能专业的技巧集合";"CSS Protips 帮助你提高CSS技能专业的技巧集合";"CSS相关的框架等资源"
38;"https://www.ctolib.com/pedronauck-docz.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""零配置和易于学习。 没有不必要的构建步骤与混乱的设置。&#10;快速燃烧。 从一开始就考虑到性能。&#10;易于定制。 创造一些易于使用和定制的东西。&#10;基于MDX。 有最好的标准来写文件。&#10;可插拔。 当您需要定制灵活的解决方案时，插件是最佳选择。";"docz✍?一个零配置、基于MDX、易于定制的项目文档化工具";"CSS相关的框架等资源"
39;"https://www.ctolib.com/froala-design-blocks.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一套170多个基于Bootstrap的设计块，可用于创建干净的现代网站";"一套170多个基于Bootstrap的设计块，可用于创建干净的现代网站";"CSS相关的框架等资源"
40;"https://www.ctolib.com/yoga.html";"Yoga是一个实现Flexbox的跨平台布局引擎";"CSS相关的框架等资源"
41;"https://www.ctolib.com/Automattic-wp-calypso.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Calypso是WordPress.com的新前端 - 使用由WordPress.com REST API提供支持的单页Web应用程序，拥有漂亮设计的WordPress仪表板。 Calypso是为在同一个地方阅读，写作和管理所有WordPress网站而建的。";"Calypso是WordPress.com的新前端";"CSS相关的框架等资源"
42;"https://www.ctolib.com/RelaxedJS-ReLaXed.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""ReLaXed是一种使用HTML或Pug（HTML的简写）交互式创建PDF文档的工具。 它允许使用CSS和JavaScript定义复杂的布局，同时将内容写入接近Markdown或LaTeX的友好，最简单的语法中。";"ReLaXed是一种使用HTML或Pug交互式创建PDF文档的工具";"CSS相关的框架等资源"
43;"https://www.ctolib.com/csspin.html";"CSS Spinners and Loaders - 模块化、可定制的和单一的HTML元素的代码";"CSS相关的框架等资源"
44;"https://www.ctolib.com/object-fit.html";"让浏览器支持object-fit这css规则";"CSS相关的框架等资源"
45;"https://www.ctolib.com/jasperapp-jasper.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Jasper - 一个灵活而强大的 GitHub issue 阅读器";"Jasper - 一个灵活而强大的 GitHub issue 阅读器";"CSS相关的框架等资源"
46;"https://www.ctolib.com/repaintless.html";"Repaintless.css：一款轻量级高性能的CSS3动画库";"CSS相关的框架等资源"
47;"https://www.ctolib.com/starability.html";"starability.css是一款炫酷纯CSS3星级评分动画特效";"CSS相关的框架等资源"
48;"https://www.ctolib.com/jonathantneal-postcss-preset-env.html";"postcss-preset-env 将现代CSS转换成浏览器能理解的东西";"CSS相关的框架等资源"
49;"https://www.ctolib.com/ModalWindowEffects.html";"这是一款带19种炫酷CSS3过渡动画的jQuery模态窗口插件";"CSS相关的框架等资源"
50;"https://www.ctolib.com/pratikborsadiya-vali-admin.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Vali Admin 使用Bootstrap，SASS和Pug JS构建的免费，模块化和易于自定义的后台管理模板";"Vali Admin 使用Bootstrap，SASS和Pug JS构建的免费，模块化和易于自定义的后台管理模板";"CSS相关的框架等资源"
51;"https://www.ctolib.com/spymastermatt-thunderbird-monterail.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Thunderbird的一套主题，灵感来自Monterail blog post";"Thunderbird的一套主题";"CSS相关的框架等资源"
52;"https://www.ctolib.com/yuri2peter-win10-ui.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Win10-ui是一款win10风格的后台UI，让你轻松搭建一个别具一格的后台界面。&#10;";"Win10-ui是一款win10风格的后台UI";"CSS相关的框架等资源"
53;"https://www.ctolib.com/flatlogic-sing-app.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Sing App Lite - 使用Bootstrap 4构建的免费和开源管理仪表板模板";"Sing App Lite - 使用Bootstrap 4构建的免费和开源管理仪表板模板";"CSS相关的框架等资源"
54;"https://www.ctolib.com/aaronduino-asciidots-.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""AsciiDots - 结合艺术，电气工程和编程的结果";"AsciiDots - 结合艺术，电气工程和编程的结果";"CSS相关的框架等资源"
55;"https://www.ctolib.com/css-literal-loader.html";"css-literal-loader：webpack装入器用于提取和处理在其他文件中定义的CSS";"CSS相关的框架等资源"
