"id";"link";"title";"DE"
1;"https://www.ctolib.com/jorgebucaran-fisher.html";"Fisher 是一个用于 fish shell 的包管理器";"用于管理多个shell配置的工具。"
2;"https://www.ctolib.com/joelgriffith-browserless.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""将Severless Chrome做为一个服务放到docker中";"将Severless Chrome做为一个服务放到docker中";"用于管理多个shell配置的工具。"
3;"https://www.ctolib.com/rainglow-vscode.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""Rainglow：用于Visual Studio Code的80+语法和UI主题";"Rainglow：用于Visual Studio Code的80+语法和UI主题";"用于管理多个shell配置的工具。"
4;"https://www.ctolib.com/zgen.html";"zgen是ZSH的轻量级和简单的插件管理器";"用于管理多个shell配置的工具。"
5;"https://www.ctolib.com/Yggdroot-LeaderF.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""LeaderF - 超级好用的VIM全局搜索插件";"LeaderF - 超级好用的VIM全局搜索插件";"用于管理多个shell配置的工具。"
6;"https://www.ctolib.com/corbindavenport-creative-cloud-linux.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""这是Adobe Creative Cloud的安装脚本，旨在与PlayOnLinux一起使用。 它会从Adobe的网站下载并安装Creative Cloud软件。 安装完成后，您可以使用Adobe Application Manager下载并安装Photoshop，Dreamweaver，Illustrator和其他应用程序。";"这是Adobe Creative Cloud的安装脚本，旨在与PlayOnLinux一起使用";"用于管理多个shell配置的工具。"
7;"https://www.ctolib.com/askme765cs-Wine-QQ.html";"提供在Linux上运行最新版腾讯QQ的安装文件和解决方案";"用于管理多个shell配置的工具。"
8;"https://www.ctolib.com/basher.html";"basher - shell脚本的包管理器";"用于管理多个shell配置的工具。"
9;"https://www.ctolib.com/log-so-handy.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""log-so-handy：一个方便的工具，轻松地浏览你的git日志";"log-so-handy：一个方便的工具，轻松地浏览你的git日志";"用于管理多个shell配置的工具。"
10;"https://www.ctolib.com/mesalock-linux-mesalock-distro.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""MesaLock Linux: 一个内存安全的Linux发行版";"MesaLock Linux: 一个内存安全的Linux发行版";"用于管理多个shell配置的工具。"
11;"https://www.ctolib.com/maddox-actions.html"" data-toggle=""tooltip"" data-placement=""bottom"" data-html=""true"" title="""" data-original-title=""一组实用的 GitHub Actions 集合";"一组实用的 GitHub Actions 集合";"用于管理多个shell配置的工具。"
