"id";"title";"DE";"link"
1;"Android Stu";"Android Studio插件";"https://www.ctolib.com/categories/android-android-studio.html"
2;"Gradle插件";"Gradle插件";"https://www.ctolib.com/categories/android-gradle.html"
3;"Hook框架";"Android Hook框架";"https://www.ctolib.com/categories/android-hook.html"
4;"JSON格式处理";"用于Android的JSON解析器/生成器";"https://www.ctolib.com/categories/android-json.html"
5;"Kotlin开发";"Kotlin相关开发资源";"https://www.ctolib.com/categories/android-kotlin.html"
6;"Material De";"Adnroid的Material Design控件";"https://www.ctolib.com/categories/android-material-design.html"
7;"MVVM/MVP";"Android的MVC/MVVM/MVP框架";"https://www.ctolib.com/categories/android-mvc-mvvm-mvp.html"
8;"ORM框架";"Android ORM框架";"https://www.ctolib.com/categories/android-orm.html"
9;"RecyclerVie";"取代ListView";"https://www.ctolib.com/categories/android-recyclerview.html"
10;"Snackbar控件";"介于Toast和AlertDialog之间轻量级控件";"https://www.ctolib.com/categories/android-snackbar.html"
11;"UI控件库";"Android UI控件库";"https://www.ctolib.com/categories/android-android-ui-library.html"
12;"ViewPager控件";"Android ViewPager控件";"https://www.ctolib.com/categories/android-viewpager.html"
13;"下拉刷新";"Android下拉刷新";"https://www.ctolib.com/categories/android-pull-to-refresh.html"
14;"二维码(QRCode)";"Android二维码QRCode";"https://www.ctolib.com/categories/android-qrcode.html"
15;"代码生成";"Android代码生成";"https://www.ctolib.com/categories/android-code-generation.html"
16;"其它控件";"其它暂时没有分类的控件";"https://www.ctolib.com/categories/android-other-widget.html"
17;"其它杂项";"未分类的其它Anroid资源";"https://www.ctolib.com/categories/android-miscellaneous.html"
18;"列表ListView";"Android 列表ListView";"https://www.ctolib.com/categories/android-listview.html"
19;"动画效果";"Android动画效果";"https://www.ctolib.com/categories/android-animations.html"
20;"卡片视图CardVie";"卡片视图CardView";"https://www.ctolib.com/categories/android-cardview.html"
21;"响应式编程";"Android响应式编程";"https://www.ctolib.com/categories/android-reactive-programming.html"
22;"图标(Icons)";"图标(Android Icons)";"https://www.ctolib.com/categories/android-icons.html"
23;"图片加载展示";"Android图片网络下载、缓存和加载展示";"https://www.ctolib.com/categories/android-imageview.html"
24;"图片处理";"Android图片处理";"https://www.ctolib.com/categories/android-images.html"
25;"图表(Chart)";"图表(Android Chart)";"https://www.ctolib.com/categories/android-chart.html"
26;"学习教程";"Android学习教程";"https://www.ctolib.com/categories/android-android-books.html"
27;"安全和反编译";"Android安全和反编译";"https://www.ctolib.com/categories/android-security--decompiler.html"
28;"完整的App";"包含整个App完整源码";"https://www.ctolib.com/categories/android-app.html"
29;"对话框Dialog";"Android对话框Dialog";"https://www.ctolib.com/categories/android-dialog.html"
30;"导航条";"Android导航条";"https://www.ctolib.com/categories/android-actionbar.html"
31;"工具类";"工具类";"https://www.ctolib.com/categories/android-utils.html"
32;"布局(Layout)";"Android布局(Layout)";"https://www.ctolib.com/categories/android-layout.html"
33;"开发框架";"整合Android常用工具的完整框架";"https://www.ctolib.com/categories/android-common-framework.html"
34;"引导页和功能提示";"Android引导页和功能提示";"https://www.ctolib.com/categories/android-intro-welcome.html"
35;"性能工具";"性能工具Performance Tools";"https://www.ctolib.com/categories/android-performance-tools.html"
36;"总线EventBus";"EventBus简化了活动、片段、线程、服务等的通信";"https://www.ctolib.com/categories/android-eventbus.html"
37;"投票RatingVie";"Android投票RatingView";"https://www.ctolib.com/categories/android-ratingview.html"
38;"按钮控件Button";"Android按纽控件Button";"https://www.ctolib.com/categories/android-button.html"
39;"提示框(Tip)";"Android提示框(Tip)";"https://www.ctolib.com/categories/android-tip.html"
40;"插件机制";"实现android插件化开发的框架";"https://www.ctolib.com/categories/android-plugin.html"
41;"搜索视图SearchV";"Android搜索视图SearchView";"https://www.ctolib.com/categories/android-searchview.html"
42;"文本输入和显示";"Android文本输入和显示TextView/EditText";"https://www.ctolib.com/categories/android-textview-edittext.html"
43;"日期/时间控件";"Android日期/时间控件";"https://www.ctolib.com/categories/android-date-time.html"
44;"步骤视图";"Android步骤视图";"https://www.ctolib.com/categories/android-stepview.html"
45;"测试工具";"Android测试工具";"https://www.ctolib.com/categories/android-test.html"
46;"游戏引擎";"Android游戏引擎";"https://www.ctolib.com/categories/android-game-engine.html"
47;"版本更新及修复";"版本在线更新及热修复";"https://www.ctolib.com/categories/android-version-manager.html"
48;"网格GridView";"Android网格GridView";"https://www.ctolib.com/categories/android-gridview.html"
49;"网络编程";"Android网络编程处理库";"https://www.ctolib.com/categories/android-network.html"
50;"菜单视图Menu";"Android菜单视图Menu";"https://www.ctolib.com/categories/android-menu.html"
51;"蓝牙(Bluetoot";"Android蓝牙(Bluetooth)";"https://www.ctolib.com/categories/android-bluetooth.html"
52;"视频/音频处理";"Android视频/音频处理";"https://www.ctolib.com/categories/android-media.html"
53;"视频/音频播放器";"Android视频/音频播放VideoPlayer";"https://www.ctolib.com/categories/android-video-player.html"
54;"进度条/进度视图";"Android进度条/进度视图";"https://www.ctolib.com/categories/android-progressbar.html"
55;"适配器(Adapter";"Android适配器(Adapter)";"https://www.ctolib.com/categories/android-adapter.html"
