"id";"title";"DE";"link"
1;"BitTorrent库";"BitTorrent库";"https://www.ctolib.com/categories/cpp-bittorrent.html"
2;"CLI命令行界面";"控制台/终端的用户界面，命令行界面";"https://www.ctolib.com/categories/cpp-cli.html"
3;"GUI开发库";"C++ GUI开发库";"https://www.ctolib.com/categories/cpp-ui-lib.html"
4;"HTTP服务器";"C/C++开发的HTTP/Web服务器";"https://www.ctolib.com/categories/cpp-http-server-.html"
5;"JSON处理";"C++ JSON解析处理";"https://www.ctolib.com/categories/cpp-json.html"
6;"NoSQL数据库";"NoSQL数据库";"https://www.ctolib.com/categories/cpp-nosql.html"
7;"RPC框架";"进程间通信RPC框架";"https://www.ctolib.com/categories/cpp-rpc.html"
8;"Web应用框架";"Web应用开发框架";"https://www.ctolib.com/categories/cpp-web-application-framework.html"
9;"XML处理";"C语言编写的xml解析库";"https://www.ctolib.com/categories/cpp-xml.html"
10;"人工智能";"人工智能";"https://www.ctolib.com/categories/cpp-artificial-intelligence.html"
11;"其它杂项";"C/C++语言开发的未分类文章";"https://www.ctolib.com/categories/cpp-miscellaneous.html"
12;"加密解密";"C++加密解密库";"https://www.ctolib.com/categories/cpp-cryptography.html"
13;"动力学仿真引擎";"动力学仿真引擎";"https://www.ctolib.com/categories/cpp-physics.html"
14;"图片处理";"C/C++开发的图片处理工具";"https://www.ctolib.com/categories/cpp-image-processing.html"
15;"多媒体处理";"C++多媒体处理";"https://www.ctolib.com/categories/cpp-multimedia.html"
16;"学习教程";"C/C++开发相关教程";"https://www.ctolib.com/categories/cpp-guide.html"
17;"容器";"容器Containers";"https://www.ctolib.com/categories/cpp-containers.html"
18;"嵌入脚本语言";"嵌入脚本语言";"https://www.ctolib.com/categories/cpp-scripting.html"
19;"并发库";"C语言的并发库";"https://www.ctolib.com/categories/cpp-concurrency.html"
20;"序列化";"C++序列化";"https://www.ctolib.com/categories/cpp-serialization.html"
21;"数学计算";"C++数学计算";"https://www.ctolib.com/categories/cpp-math.html"
22;"数据库相关";"C/C++开发的数据库及相关工具";"https://www.ctolib.com/categories/cpp-database.html"
23;"文本文件处理";"C++文本文件处理";"https://www.ctolib.com/categories/cpp-text-process.html"
24;"日志库";"C++日志库";"https://www.ctolib.com/categories/cpp-logging.html"
25;"机器学习";"C/C++机器学习相关资料";"https://www.ctolib.com/categories/cpp-machine-learning.html"
26;"构建系统";"C++/C构建系统";"https://www.ctolib.com/categories/cpp-build-systems.html"
27;"测试工具";"C/C++测试工具";"https://www.ctolib.com/categories/cpp-testing.html"
28;"游戏开发";"游戏开发";"https://www.ctolib.com/categories/cpp-game-development.html"
29;"生物信息学";"生物信息学，基因组学，生物技术";"https://www.ctolib.com/categories/cpp-biology.html"
30;"编译器";"C/C++编译器列表";"https://www.ctolib.com/categories/cpp-compiler.html"
31;"网络编程";"C/C++网络编程";"https://www.ctolib.com/categories/cpp-network.html"
32;"视频处理";"C/C++的视频处理库和软件";"https://www.ctolib.com/categories/cpp-video.html"
33;"解压缩库";"C++解压缩库";"https://www.ctolib.com/categories/cpp-compression.html"
34;"调试器";"C++调试器";"https://www.ctolib.com/categories/cpp-debugger.html"
35;"通用框架和库";"通用框架和库";"https://www.ctolib.com/categories/cpp-frameworks-and-libraries.html"
36;"集成开发环境IDE";"C/C++集成开发环境列表";"https://www.ctolib.com/categories/cpp-ide.html"
37;"静态代码分析";"提高质量，减少瑕疵的代码分析工具列表";"https://www.ctolib.com/categories/cpp-static-code-analysis.html"
38;"音频处理";"音频，声音，音乐，数字化音乐库";"https://www.ctolib.com/categories/cpp-audio.html"
