"id";"title";"DE";"link"
1;"CSS相关";"CSS相关的框架等资源";"https://www.ctolib.com/categories/javascript-css.html"
2;"Markdown编辑器";"Markdown编辑器";"https://www.ctolib.com/categories/javascript-markdown.html"
3;"MVC框架和UI库";"JavaScript MVC 框架和UI库";"https://www.ctolib.com/categories/javascript-mvc-frameworks-and-libraries.html"
4;"Vue.js相关";"Vue.js框架相关的资源";"https://www.ctolib.com/categories/javascript-vuejs.html"
5;"Web路由";"JavaScript 路由";"https://www.ctolib.com/categories/javascript-routing.html"
6;"代码高亮";"网页源代码着色高亮";"https://www.ctolib.com/categories/javascript-code-highlighting.html"
7;"其它杂项";"其它未分类的JavaScript开发相关";"https://www.ctolib.com/categories/javascript-misc.html"
8;"内容管理系统";"内容管理系统";"https://www.ctolib.com/categories/javascript-node-powered-cms-frameworks.html"
9;"函数式编程";"扩展了JavaScript功能的函数式编程库。";"https://www.ctolib.com/categories/javascript-functional-programming.html"
10;"功能介绍和引导";"功能操作介绍和引导";"https://www.ctolib.com/categories/javascript-tours-and-guides.html"
11;"加载器";"JavaScript 的模块或加载系统";"https://www.ctolib.com/categories/javascript-loaders.html"
12;"动画效果";"JavaScript动画处理相关";"https://www.ctolib.com/categories/javascript-animations.html"
13;"包管理器";"托管javascript库，并提供获取和打包它们的工具。";"https://www.ctolib.com/categories/javascript-package-managers.html"
14;"可视化/图表";"Web 数据可视化JavaScript工具";"https://www.ctolib.com/categories/javascript-data-visualization.html"
15;"响应式编程";"扩展了JavaScript功能的响应式程序库。";"https://www.ctolib.com/categories/javascript-reactive-programming.html"
16;"国际化和本地化";"本地化和国际化 JavaScript 库";"https://www.ctolib.com/categories/javascript-i18n-and-l10n.html"
17;"图标字体";"Web图标字体";"https://www.ctolib.com/categories/javascript-iconic-font.html"
18;"图片展示处理";"JavaScript图片展示处理相关库";"https://www.ctolib.com/categories/javascript-image-processing.html"
19;"地图";"地图相关的JavaScript库";"https://www.ctolib.com/categories/javascript-maps.html"
20;"字符串处理库";"JavaScript字符串库";"https://www.ctolib.com/categories/javascript-string-libraries.html"
21;"学习教程";"JavaScript学习教程";"https://www.ctolib.com/categories/javascript-guide.html"
22;"安全处理";"JavaScript安全处理";"https://www.ctolib.com/categories/javascript-security.html"
23;"布局和界面";"布局和界面";"https://www.ctolib.com/categories/javascript-layout.html"
24;"幻灯片Sliders";"JavaScript幻灯片Sliders";"https://www.ctolib.com/categories/javascript-sliders.html"
25;"微信小程序";"微信小程序开发资源汇总";"https://www.ctolib.com/categories/javascript-wechat-weapp.html"
26;"手势处理";"手势处理";"https://www.ctolib.com/categories/javascript-gesture.html"
27;"打包工具";"JavaScript打包工具";"https://www.ctolib.com/categories/javascript-bundlers.html"
28;"提示加载状态的库";"提示加载状态的JavaScript库";"https://www.ctolib.com/categories/javascript-loading-status.html"
29;"提示控件Tips";"提示控件Tips";"https://www.ctolib.com/categories/javascript-tips.html"
30;"数字处理库";"JavaScript数字操作库";"https://www.ctolib.com/categories/javascript-number.html"
31;"数据存储";"数据本地浏览器存储";"https://www.ctolib.com/categories/javascript-storage.html"
32;"数据结构";"JavaScript数据结构库用于构建一个更复杂的应用。";"https://www.ctolib.com/categories/javascript-data-structure.html"
33;"文件上传";"文件上传File Uploader";"https://www.ctolib.com/categories/javascript-file-uploader.html"
34;"文件操作";"处理文件的JavaScript库";"https://www.ctolib.com/categories/javascript-files.html"
35;"日志处理";"JavaScript日志";"https://www.ctolib.com/categories/javascript-log.html"
