"id";"title";"DE";"link"
1;"Shell包管理";"用于管理多个shell配置的工具。";"https://www.ctolib.com/categories/shell-shell-package-management.html"
2;"Shell脚本开发";"用于编写，改进或组织Bash或其他shell脚本的工具";"https://www.ctolib.com/categories/linux-shell-shell-script-development.html"
3;"下载和服务";"用shell脚本编写自托管，轻量级的服务器和网络工具。";"https://www.ctolib.com/categories/shell-downloading-and-serving.html"
4;"其它";"其它未归类";"https://www.ctolib.com/categories/linux-miscellaneous.html"
5;"基于命令行的应用";"基于命令行的应用程序或对访问现有服务的命令行。";"https://www.ctolib.com/categories/linux-shell-applications.html"
6;"多媒体和文件格式";"处理视频和音频文件的工具。";"https://www.ctolib.com/categories/shell-multimedia-and-file-formats.html"
7;"开发者的命令行";"开发，版本控制和部署的命令行";"https://www.ctolib.com/categories/linux-shell-command-line-development.html"
8;"提高命令行效率";"搜索，书签，多路复用和其他工具，使您的终端体验更有效率。";"https://www.ctolib.com/categories/linux-shell-command-line-productivity.html"
9;"游戏";"命令行游戏";"https://www.ctolib.com/categories/linux-games.html"
10;"系统实用程序";"操作系统相关工具，包括系统管理，系统调试，文件和过程管理。";"https://www.ctolib.com/categories/linux-system-utilities.html"
11;"自定义";"自定义提示，颜色主题等。";"https://www.ctolib.com/categories/linux-shell-customization.html"
