"id";"title";"DE";"link"
1;"CMS内容管理系统";"Python CMS内容管理系统";"https://www.ctolib.com/categories/python-content-management-systems.html"
2;"DevOps 工具";"用于 DevOps 的软件和库";"https://www.ctolib.com/categories/python-devops-tools.html"
3;"GUI图形用户界面";"用来创建图形用户界面程序的Python库。";"https://www.ctolib.com/categories/python-graphical-user-interface-applications.html"
4;"HTML操作";"处理 HTML和XML的库。";"https://www.ctolib.com/categories/python-working-with-html-and-xml.html"
5;"HTML表单处理";"进行表单操作的库，数据表单验证。";"https://www.ctolib.com/categories/python-working-with-forms.html"
6;"HTTP请求库";"HTTP请求Python库";"https://www.ctolib.com/categories/python-working-with-http.html"
7;"JSON操作";"Python中操作JSON数据";"https://www.ctolib.com/categories/python-josn.html"
8;"MapReduce框架";"MapReduce 框架和库";"https://www.ctolib.com/categories/python-mapreduce.html"
9;"ORM框架";"实现对象与关系映射或数据映射技术的Python 库";"https://www.ctolib.com/categories/python-orm.html"
10;"RESTful API";"用来开发RESTful APIs的python库";"https://www.ctolib.com/categories/python-developing-restful-apis.html"
11;"RPC 服务器";"兼容 RPC 的服务器";"https://www.ctolib.com/categories/python-rpc-servers.html"
12;"Serverless框";"";"https://www.ctolib.com/categories/python-serverless.html"
13;"URL处理";"解析URLs的库";"https://www.ctolib.com/categories/python-url-manipulation.html"
14;"Web开发框架";"全栈Python Web 开发框架";"https://www.ctolib.com/categories/python-full-stack-web-frameworks.html"
15;"Web爬虫";"抓取网站内容的库";"https://www.ctolib.com/categories/python-web-crawling.html"
16;"Windows平台的P";"微软Windows平台的Python编程";"https://www.ctolib.com/categories/python-programming-on-microsoft-windows.html"
17;"WSGI 服务器";"兼容 WSGI 的 web 服务器";"https://www.ctolib.com/categories/python-wsgi-compatible-web-servers.html"
18;"事件以及任务队列";"Python处理事件以及任务队列的库";"https://www.ctolib.com/categories/python-working-with-event-and-task-queues.html"
19;"交互式解析器";"交互式 Python 解析器(REPL)";"https://www.ctolib.com/categories/python-repl.html"
20;"代码分析和Lint工具";"进行代码分析，解析和操作代码库的库和工具";"https://www.ctolib.com/categories/python-code-analysis-and-linter.html"
21;"代码审查工具";"Python代码审查工具";"https://www.ctolib.com/categories/python-code-quality.html"
22;"作业定时调度";"任务调度库";"https://www.ctolib.com/categories/python-job-scheduler.html"
23;"光学字符识别";"光学字符识别Python库";"https://www.ctolib.com/categories/python-ocr.html"
24;"其它杂项";"Python开发其它杂项";"https://www.ctolib.com/categories/python-miscellaneous.html"
25;"函数式编程";"使用 Python 进行函数式编程";"https://www.ctolib.com/categories/python-functional-programming.html"
26;"加密解密";"Python加密解密库";"https://www.ctolib.com/categories/python-cryptography.html"
27;"包仓库";"Python本地 PyPI 仓库服务和代理。";"https://www.ctolib.com/categories/python-package-repositories.html"
28;"包和依赖管理";"Python包管理和依赖的工具。";"https://www.ctolib.com/categories/python-package-dependency-management.html"
29;"后台管理面板";"后台管理面板";"https://www.ctolib.com/categories/python-administrative-interfaces.html"
30;"命令行工具";"用于构建命令行程序的Python库";"https://www.ctolib.com/categories/python-command-line-tools.html"
31;"国际化处理";"用来开发支持多国语言的库";"https://www.ctolib.com/categories/python-internationalization.html"
32;"图片处理";"用来操作图像的Python库";"https://www.ctolib.com/categories/python-imagery.html"
33;"地理位置";"地理编码地址以及用来处理经纬度的python库";"https://www.ctolib.com/categories/python-geolocation.html"
34;"多媒体处理";"用来操作音频、视频和GIF库";"https://www.ctolib.com/categories/python-audio.html"
35;"存储和解析配置";"用来保存和解析配置的Python库";"https://www.ctolib.com/categories/python-storing-and-parsing-configuration-options.html"
36;"学习教程";"Python学习教程";"https://www.ctolib.com/categories/python-guide.html"
37;"安全相关";"Python安全相关资源";"https://www.ctolib.com/categories/python-security.html"
38;"并发和并行执行";"用于程序并发和并行执行的Python库";"https://www.ctolib.com/categories/python-concurrent-and-parallel-execution.html"
39;"序列化库";"Python复杂数据类型的序列化库";"https://www.ctolib.com/categories/python-serializing-complex-data-types.html"
40;"性能优化";"让 Python程序运行更快的库";"https://www.ctolib.com/categories/python-making-python-faster.html"
41;"打包工具";"Python打包成可执行文件和分发";"https://www.ctolib.com/categories/python-distribution.html"
42;"持续集成";"项目持续集成";"https://www.ctolib.com/categories/python-continuous-integration.html"
43;"搜索相关";"对数据库进行索引和执行搜索查询的Python库和软件";"https://www.ctolib.com/categories/python-indexing-and-performing-search-queries-on-data.html"
44;"操作系统进程";"操作系统进程启动及通信库。";"https://www.ctolib.com/categories/python-starting-and-communicating-with-os-processes.html"
45;"数据分析";"进行科学计算和数据分析";"https://www.ctolib.com/categories/python-science-and-data-analysis.html"
46;"数据可视化";"数据可视化";"https://www.ctolib.com/categories/python-data-validation.html"
47;"数据备份";"Python开发的数据备份";"https://www.ctolib.com/categories/python-data-backup.html"
48;"数据库";"Python开发的开源数据库";"https://www.ctolib.com/categories/python-databases-implemented-in-python.html"
49;"数据库驱动";"用来连接和操作数据库的驱动Python库";"https://www.ctolib.com/categories/python-connecting-and-operating-databases.html"
50;"数据缓存";"缓存数据的库";"https://www.ctolib.com/categories/python-caching-data.html"
51;"文件下载器";"用来进行文件下载的Python库";"https://www.ctolib.com/categories/python-downloader.html"
52;"文件操作";"Python文件管理和 MIME类型检测";"https://www.ctolib.com/categories/python-files.html"
53;"文本解析和操作";"用于解析和操作文本与特殊文本格式的Python库";"https://www.ctolib.com/categories/python-text-processing.html"
54;"日志处理";"用来生成和操作日志的Python库";"https://www.ctolib.com/categories/python-generating-and-working-with-logs.html"
55;"日期和时间操作";"操作日期和时间的Python类库";"https://www.ctolib.com/categories/python-date-and-time.html"
56;"机器学习";"Python机器学习";"https://www.ctolib.com/categories/python-machine-learning.html"
57;"权限身份验证";"实现权限身份验证方案的python库";"https://www.ctolib.com/categories/python-implementing-authentications-schemes.html"
58;"构建工具";"将源码编译成软件";"https://www.ctolib.com/categories/python-build-tools.html"
59;"模板引擎";"Pyton模板生成和词法解析的库和工具";"https://www.ctolib.com/categories/python-template-enginelibraries-and-tools-for-templating-and-lexing.html"
60;"测试工具";"进行代码库测试和生成测试数据的库";"https://www.ctolib.com/categories/python-testing-codebases-and-generating-test-data.html"
61;"游戏开发";"用Python开发游戏";"https://www.ctolib.com/categories/python-game-development.html"
62;"版本与环境管理";"管理 Python 版本和环境的工具";"https://www.ctolib.com/categories/python-version-environment-management.html"
63;"电子商务";"用于电子商务以及支付的Python框架和库";"https://www.ctolib.com/categories/python-e-commerce-and-payments.html"
64;"电子邮件收发";"用来收发和解析电子邮件的Python库";"https://www.ctolib.com/categories/python-sending-and-parsing-email.html"
65;"硬件操作";"用来对硬件进行编程的Python库";"https://www.ctolib.com/categories/python-programming-with-hardware.html"
66;"第三方 API的库";"第三方 API的库";"https://www.ctolib.com/categories/python-api.html"
67;"答题辅助";"百万英雄/冲顶大会等答题辅助工具";"https://www.ctolib.com/categories/ca-688.html"
68;"算法和设计模式";"Python 实现的算法和设计模式";"https://www.ctolib.com/categories/python-python-implementation-of-algorithms-and-design-patterns.html"
69;"编辑器插件";"编辑器和 IDE 的插件";"https://www.ctolib.com/categories/python-editor-plugins.html"
70;"网站静态资源管理";"管理、压缩、缩小网站静态资源的工具";"https://www.ctolib.com/categories/python-asset-management.html"
71;"网络可视化和SDN";"用来进行网络可视化和SDN(软件定义网络)的工具和库";"https://www.ctolib.com/categories/python-network-virtualization-and-sdn.html"
72;"网络编程";"用于网络编程的库和使用WebSocket的库";"https://www.ctolib.com/categories/python-networking-programming.html"
73;"网页内容提取";"用于进行网页内容提取的库";"https://www.ctolib.com/categories/python-web-content-extracting.html"
74;"自然语言处理";"用来处理人类语言的Python库";"https://www.ctolib.com/categories/python-natural-language-processing.html"
75;"计算机视觉";"计算机视觉库";"https://www.ctolib.com/categories/python-computer-vision.html"
76;"调试工具";"用来进行代码调试的库";"https://www.ctolib.com/categories/python-debugging-tools.html"
77;"跳一跳辅助";"跳一跳辅助工具";"https://www.ctolib.com/categories/ca-687.html"
78;"集成开发环境";"Python集成开发环境IDE";"https://www.ctolib.com/categories/python-ides.html"
79;"静态站点生成器";"静态站点生成器，它把文本和模板作为输入，然后生成HTML文件";"https://www.ctolib.com/categories/python-static-site-generator.html"
80;"项目文档生成";"用于生成项目文档的Python库";"https://www.ctolib.com/categories/python-documentation.html"
