id,link,title,
1,jQuery和CSS3响应式全屏商品介绍轮播图特效,http://www.htmleaf.com/jQuery/Slideshow-Scroller/201812265470.html, 
2,jQuery炫酷全屏模态窗口插件,http://www.htmleaf.com/jQuery/Lightbox-Dialog/201812245466.html, 
3,jQuery带动画特效的圆形导航菜单特效,http://www.htmleaf.com/jQuery/Menu-Navigation/201812215464.html, 
4,jQuery拆分面板插件,http://www.htmleaf.com/jQuery/Layout-Interface/201812195460.html, 
5,jQuery和CSS3炫酷旋转木马布局特效,http://www.htmleaf.com/jQuery/Layout-Interface/201812175458.html, 
6,js和CSS3超炫酷轮播图过渡动画特效,http://www.htmleaf.com/jQuery/Slideshow-Scroller/201812145456.html, 
7,jQuery图片添加渐变遮罩层插件,http://www.htmleaf.com/jQuery/Image-Effects/201812135454.html, 
8,基于Three.js的交互动画特效,http://www.htmleaf.com/jQuery/Layout-Interface/201812125452.html, 
9,基于CSS3混合模式的jquery轮播图特效,http://www.htmleaf.com/jQuery/Slideshow-Scroller/201812115450.html, 
10,纯js仿Medium.com图片缩放预览插件,http://www.htmleaf.com/jQuery/Image-Effects/201812105448.html, 
11,移动优先的jquery多级导航菜单插件,http://www.htmleaf.com/jQuery/Menu-Navigation/201812075446.html, 
12,fullPage.js页面全屏滚动插件,http://www.htmleaf.com/jQuery/Layout-Interface/201812055442.html, 
13,Bootstrap4动态生成模态窗口插件,http://www.htmleaf.com/jQuery/Lightbox-Dialog/201812035438.html, 
14,jQuery表格头和列固定插件,http://www.htmleaf.com/jQuery/Table/201811305436.html, 
15,js和CSS3鼠标悬停超链接展示图片特效,http://www.htmleaf.com/jQuery/Text-Link-Effects/201811295434.html, 
16,js和CSS3炫酷圆形导航菜单插件,http://www.htmleaf.com/jQuery/Menu-Navigation/201811285432.html, 
17,js和CSS3炫酷图片画廊插件,http://www.htmleaf.com/jQuery/Image-Effects/201811275430.html, 
18,支持5种炫酷动画类型的jQuery插件-EnlivenTricks.js,http://www.htmleaf.com/jQuery/jquery-tools/201811235426.html, 
19,jQuery基于窗口的照片查看器插件,http://www.htmleaf.com/jQuery/Image-Effects/201811215422.html, 
20,强大的jquery弹出层插件jBox,http://www.htmleaf.com/jQuery/Lightbox-Dialog/201811205420.html, 
21,jquery半透明拖拽窗口插件,http://www.htmleaf.com/jQuery/Text-Link-Effects/201811195418.html, 
22,js和CSS3翻转式翻页切换特效,http://www.htmleaf.com/jQuery/Lightbox-Dialog/201811165416.html, 
23,jQuery四格窗口轮播图插件,http://www.htmleaf.com/jQuery/Layout-Interface/201811155414.html, 
24,17+jQuery页面滚动动画特效插件,http://www.htmleaf.com/jQuery/Slideshow-Scroller/201811145412.html, 
25,Bootstrap4导航菜单sina-nav,http://www.htmleaf.com/jQuery/Layout-Interface/201811135410.html, 
26,支持三种状态的jQuery开关按钮插件,http://www.htmleaf.com/jQuery/Menu-Navigation/201811125408.html, 
27,jQuery的图片展示插件imgZoomAndRotate,http://www.htmleaf.com/jQuery/Form/201811085404.html, 
28,带视觉差效果的网格图片预览布局,http://www.htmleaf.com/jQuery/Image-Effects/201811075402.html, 
29,带随机展开动画特效的jquery网格图片布局,http://www.htmleaf.com/jQuery/Layout-Interface/201811065400.html, 
30,jQuery和CSS3鼠标悬停超链接文字动画特效,http://www.htmleaf.com/jQuery/Text-Link-Effects/201811015394.html, 
31,jQuery和CSS3图片展示动画特效,http://www.htmleaf.com/jQuery/Image-Effects/201810315392.html, 
32, 简洁实用的jQuery进度条插件,http://www.htmleaf.com/jQuery/Form/201810305390.html, 
33,基于anime.js的动感圆形轮播图特效,http://www.htmleaf.com/jQuery/Slideshow-Scroller/201810295388.html, 
34,jQuery轮播图插件slider-pro,http://www.htmleaf.com/jQuery/Slideshow-Scroller/201810265386.html, 
35,js和css3带反光特效的按钮插件,http://www.htmleaf.com/jQuery/Buttons-Icons/201810255384.html, 
36,jQuery和CSS3精美时钟插件,http://www.htmleaf.com/jQuery/jquery-tools/201810245382.html, 
37,基于HTML5 SVG的炫酷进度条插件,http://www.htmleaf.com/jQuery/Form/201810235380.html, 
38,js全屏快速预览图片特效,http://www.htmleaf.com/jQuery/Image-Effects/201810225378.html, 
39,jquery滑动侧边栏插件jSide,http://www.htmleaf.com/jQuery/Menu-Navigation/201810195376.html, 
40,js和CSS3图片360度全方位3D预览插件,http://www.htmleaf.com/jQuery/Image-Effects/201810165370.html, 
41,jQuery和CSS3滑动展开菜单按钮插件,http://www.htmleaf.com/jQuery/Menu-Navigation/201810135366.html, 
42,33种css3开关按钮特效,http://www.htmleaf.com/jQuery/Buttons-Icons/201810125364.html, 
43,轻量级jQuery轮播图插件partialViewSlider,http://www.htmleaf.com/jQuery/Slideshow-Scroller/201810115362.html, 
44, jQuery多功能滑块插件r-slider.js,http://www.htmleaf.com/jQuery/Form/201810105360.html, 
45,基于CSS Grid的全屏多网格菜单布局特效,http://www.htmleaf.com/jQuery/Layout-Interface/201810095358.html, 
46,Bootstrap4表单浮动标签插件,http://www.htmleaf.com/jQuery/Form/201810065354.html, 
47,jQuery响应式Tabs选项卡插件,http://www.htmleaf.com/jQuery/Tabs/201809285348.html, 
