"id";"title";"link"
1;"Linux中10个方便的Bash别名";"https://www.jb51.net/article/148201.htm"
2;"shell日志颜色处理及清理系统日志的方法";"https://www.jb51.net/article/148105.htm"
3;"Linux下使用Rsync完成自动化备份";"https://www.jb51.net/article/147660.htm"
4;"linux shell中实现循环日期的实例代码";"https://www.jb51.net/article/147355.htm"
5;"Linux 命令head和tail常见用法详解";"https://www.jb51.net/article/146892.htm"
6;"npm script命令同时进行多个监听服务的方法";"https://www.jb51.net/article/145651.htm"
7;"Linux创建用户的操作命令";"https://www.jb51.net/article/145436.htm"
8;"linux定时器crontab的使用教程";"https://www.jb51.net/article/145257.htm"
9;"Linux shell条件判断if中的-a到-z的意思【推荐】";"https://www.jb51.net/article/145131.htm"
10;"在linux上定期执行命令、脚本（cron,crontab,anacron）";"https://www.jb51.net/article/144311.htm"
11;"linux shell脚本对未定义变量的判断以及if的用法详解";"https://www.jb51.net/article/143793.htm"
12;"对shell中常见参数及判断命令介绍";"https://www.jb51.net/article/143791.htm"
13;"shell脚本之判断输入参数是否为整数值的实例";"https://www.jb51.net/article/143787.htm"
14;"Linux 下vim使用教程";"https://www.jb51.net/article/143669.htm"
15;"linux 中grep 匹配制表符 和 换行符的命令";"https://www.jb51.net/article/143335.htm"
16;"Linux 使用grep筛选多个条件及grep常用过滤命令";"https://www.jb51.net/article/143144.htm"
17;"linux shell中curl 发送post请求json格式问题的处理方法";"https://www.jb51.net/article/143028.htm"
18;"Shell中重定向的深入讲解";"https://www.jb51.net/article/142918.htm"
19;"Shell中的命令别名、命令历史和命令替换的方法";"https://www.jb51.net/article/142906.htm"
20;"linux模糊查找一个文件的方法";"https://www.jb51.net/article/142865.htm"
21;"shell脚本编写俄罗斯方块";"https://www.jb51.net/article/142640.htm"
22;"shell实现俄罗斯方块脚本";"https://www.jb51.net/article/142639.htm"
23;"HBASE 常用shell命令,增删改查方法";"https://www.jb51.net/article/142346.htm"
24;"hbase-shell批量命令执行脚本的方法";"https://www.jb51.net/article/142342.htm"
25;"shell简单处理mysql查询结果的方法";"https://www.jb51.net/article/142337.htm"
26;"linux禁止普通用户切换至root用户的实例讲解";"https://www.jb51.net/article/142336.htm"
27;"linux 获取某个日期对应的月末日期方法";"https://www.jb51.net/article/142330.htm"
28;"浅谈shell数组的定义及循环";"https://www.jb51.net/article/142327.htm"
29;"使用Shell遍历目录及其子目录中的所有文件方法";"https://www.jb51.net/article/142325.htm"
30;"linux每天定时备份数据库并删除十天前数据详细步骤";"https://www.jb51.net/article/142317.htm"
31;"shell 递归遍历目录下的所有文件并统一改名的方法";"https://www.jb51.net/article/142313.htm"
32;"浅谈shell循环中变量的作用域问题";"https://www.jb51.net/article/142311.htm"
33;"shell for循环、循环变量值付给其他shell脚本的方法";"https://www.jb51.net/article/142280.htm"
34;"基于Shell中for循环的几个常用写法分享";"https://www.jb51.net/article/142274.htm"
35;"对Linux下shell编程之for循环的实例讲解";"https://www.jb51.net/article/142272.htm"
36;"linux shell 中数组的定义和for循环遍历的方法";"https://www.jb51.net/article/142266.htm"
37;"shell下获取上一个月，星期时间和时间戳的范围实例";"https://www.jb51.net/article/142264.htm"
38;"在shell脚本中获取上个月最后一天的日期方法";"https://www.jb51.net/article/142262.htm"
39;"解决linux 所有命令无法使用的问题";"https://www.jb51.net/article/142257.htm"
40;"Linux命令提示符显示格式的配置方法";"https://www.jb51.net/article/142254.htm"
41;"linux 下获取当前工作路径的实例";"https://www.jb51.net/article/142251.htm"
42;"linux下利用shell在指定的行添加内容的方法";"https://www.jb51.net/article/142249.htm"
43;"Spark-shell批量命令执行脚本的方法";"https://www.jb51.net/article/142241.htm"
44;"使用shell脚本执行hive、sqoop命令的方法";"https://www.jb51.net/article/142238.htm"
45;"shell中循环调用hive sql 脚本的方法";"https://www.jb51.net/article/142237.htm"
46;"shell传参并将参数传递给sql文件的方法";"https://www.jb51.net/article/142227.htm"
47;"hive-shell批量命令执行脚本的实现方法";"https://www.jb51.net/article/142225.htm"
48;"Linux下去掉^M的四种方法";"https://www.jb51.net/article/142224.htm"
49;"shell在指定目录下批量执行sql脚本的实例";"https://www.jb51.net/article/142223.htm"
50;"linux环境下编写shell脚本实现启动停止tomcat服务的方法";"https://www.jb51.net/article/142215.htm"
51;"在linux shell脚本中root切换到普通用户执行脚本或命令的方法";"https://www.jb51.net/article/142207.htm"
52;"在任意目录下使用某个shell脚本的方法";"https://www.jb51.net/article/142205.htm"
53;"Linux shell 实现用for循环100次的方法";"https://www.jb51.net/article/142201.htm"
54;"Linux中shell脚本获取当前工作目录的方法";"https://www.jb51.net/article/142194.htm"
55;"基于shell脚本中cd命令无效的解决方法";"https://www.jb51.net/article/142189.htm"
56;"通过shell脚本循环进入目录执行命令的方法";"https://www.jb51.net/article/142182.htm"
57;"shell递归输出文件名和目录名的方法";"https://www.jb51.net/article/142176.htm"
58;"利用shell脚本遍历文件夹内所有的文件并作整理统计的方法";"https://www.jb51.net/article/142174.htm"
59;"十三个写好shell脚本的技巧分享";"https://www.jb51.net/article/142173.htm"
60;"shell获取目录下所有文件夹的名称并输出的实例";"https://www.jb51.net/article/142172.htm"
61;"Linux Shell获取文件夹下的文件名方法";"https://www.jb51.net/article/142168.htm"
62;"linux 获取文件名称并生成列表txt的方法";"https://www.jb51.net/article/142119.htm"
63;"linux命令返回值的含义解析";"https://www.jb51.net/article/141998.htm"
64;"浅析Linux tar打包命令";"https://www.jb51.net/article/141868.htm"
65;"windows下上传shell脚本不能运行的解决方法";"https://www.jb51.net/article/141752.htm"
66;"linux编写.sh脚本并赋权限问题";"https://www.jb51.net/article/141451.htm"
67;"linux下使用shell脚本输出带颜色字体";"https://www.jb51.net/article/141286.htm"
68;"详解Linux解压缩文件";"https://www.jb51.net/article/141259.htm"
69;"Linux 删除和替换文件中某一行的方法【推荐】";"https://www.jb51.net/article/141234.htm"
70;"Linux中popen函数的作用小结";"https://www.jb51.net/article/140783.htm"
71;"Linux通过Shell脚本命令修改密码的两种方式";"https://www.jb51.net/article/140708.htm"
72;"linux 比较两个文件夹diff不同 (diff命令, md5列表)";"https://www.jb51.net/article/140597.htm"
73;"Linux下快速比较两个目录的不同（多种方法）";"https://www.jb51.net/article/140596.htm"
74;"Linux 删除文件夹和文件的命令(强制删除包括非空文件)";"https://www.jb51.net/article/140588.htm"
75;"Vim 编辑器操作汇总";"https://www.jb51.net/article/140018.htm"
76;"Shell中关于时间和日期的函数总结";"https://www.jb51.net/article/139920.htm"
77;"Linux启动jar包的shell脚本";"https://www.jb51.net/article/139465.htm"
78;"linux设置定时任务的方法步骤";"https://www.jb51.net/article/139368.htm"
79;"Linux常用ls, alias基础命令详解";"https://www.jb51.net/article/139250.htm"
80;"Linux 实现压缩保留源文件的方法";"https://www.jb51.net/article/139001.htm"
81;"shell脚本实现服务器进程监控的方法";"https://www.jb51.net/article/138793.htm"
