"id";"link";"title"
1;"用vs使用Python讀取檔案出錯";"https://segmentfault.com/q/1010000016593455"
2;"django项目中在后台获取了数据库的某一列，如何将其显示在html模板中的select标签内的option选项下？";"https://segmentfault.com/q/1010000016589471"
3;"python的多进程";"https://segmentfault.com/q/1010000016583579"
4;"python3不能进入环境";"https://segmentfault.com/q/1010000016584285"
5;"python 不支持语法 ' true ? 2:3 '";"https://segmentfault.com/q/1010000016348551"
6;"将数组传入函数并进行遍历，为何用来遍历的元素变成了整个数组";"https://segmentfault.com/q/1010000016423968"
7;"import 在外面和在方法里面有什么区别，性能上有什么差异";"https://segmentfault.com/q/1010000016581802"
8;"自建sentry后，配置了邮件服务，但是还是收不到验证邮件？";"https://segmentfault.com/q/1010000016563419"
9;"“测试”或“业务逻辑”，编程时先写谁，整体效率会比较高？";"https://segmentfault.com/q/1010000016576779"
10;"swagger_py_codegen报错TypeError";"https://segmentfault.com/q/1010000016579258"
11;"scrapy中yield抛出了，但不执行";"https://segmentfault.com/q/1010000016576078"
12;"Ubuntu 系统下 运行python，调用火狐浏览器来抓取数据问题";"https://segmentfault.com/q/1010000016573291"
13;"pipenv 和conda的区别在哪里";"https://segmentfault.com/q/1010000016574826"
14;"selenium无法定位元素";"https://segmentfault.com/q/1010000016495728"
15;"调用微信客服消息响应超时导致多次调用，一次发送多条消息";"https://segmentfault.com/q/1010000016571620"
16;"ipython更新7.0.1后 代码块的换行问题";"https://segmentfault.com/q/1010000016569841"
17;"用python怎么控制windows麦克风的音量？";"https://segmentfault.com/q/1010000016572575"
18;"python爬数据写入mysql报错pymysql.err.ProgrammingError: Cursor closed";"https://segmentfault.com/q/1010000016571080"
19;"关于python 正则里反斜杠""\""的疑问";"https://segmentfault.com/q/1010000016571469"
20;"在IOSAPP内嵌H5中的iframe显示空白。";"https://segmentfault.com/q/1010000016567445"
21;"vue,mavon-editor,保存到数据库里的时候是html,再拿出来，如何转成markdown,如下图和代码";"https://segmentfault.com/q/1010000016563395"
22;"CentOS7.2安装Python3.7出现问题";"https://segmentfault.com/q/1010000016566328"
23;"opencv-python关于hsv红色区域跨2个区间的情况怎么提取";"https://segmentfault.com/q/1010000016564822"
24;"请教一个老问题，关于批量发布的问题";"https://segmentfault.com/q/1010000016563327"
25;"为什么django在1.8版本之后就不支持runfcgi的命令了？";"https://segmentfault.com/q/1010000016557622"
26;"用matplotlib绘制散点图，报错ValueError: x and y must be the same size。";"https://segmentfault.com/q/1010000016562662"
27;"crontab 运行脚本的时候 log 日志文件很大 用vim打开很卡 ";"https://segmentfault.com/q/1010000016439071"
28;"python 中scrapy  中mongodb 去重后下载 如何写？";"https://segmentfault.com/q/1010000016562019"
29;"MongoDB的去重";"https://segmentfault.com/q/1010000016560248"
30;"django2 登录的时候包错误 'WSGIRequest' object has no attribute 'session'";"https://segmentfault.com/q/1010000016554811"
