id,indexs,stock,spread,,,,,,,,,,,,
1,10852.5,2.78,3903.776978,,,,,,,,,,,,
2,10852.5,2.78,3903.776978,,,,,,,,,,,,
3,10852.5,2.78,3903.776978,,,,,,,,,,,,
4,10852.5,2.78,3903.776978,,,,,,,,,,,,
5,10852.5,2.78,3903.776978,,,,,,,,,,,,
6,10852.5,2.78,3903.776978,,,,,,,,,,,,
7,10852.5,2.78,3903.776978,,,,,,,,,,,,
8,10852.5,2.78,3903.776978,,,,,,,,,,,,
9,10852.5,2.78,3903.776978,,,,,,,,,,,,
10,10852.5,2.78,3903.776978,,,,,,,,,,,,
11,10852.5,2.78,3903.776978,,,,,,,,,,,,
12,10852.5,2.78,3903.776978,,,,,,,,,,,,
13,10866.5,2.78,3908.81295,,,,,,,,,,,,
14,10859,2.78,3906.115108,,,,,,,,,,,,
15,10859,2.78,3906.115108,,,,,,,,,,,,
16,10804,2.77,3900.361011,,,,,,,,,,,,
17,10804,2.77,3900.361011,,,,,,,,,,,,
18,10804,2.77,3900.361011,,,,,,,,,,,,
19,10804,2.77,3900.361011,,,,,,,,,,,,
20,10817.5,2.77,3905.234657,,,,,,,,,,,,
21,10817.5,2.77,3905.234657,,,,,,,,,,,,
22,10801.5,2.77,3899.458484,,,,,,,,,,,,
23,10806,2.77,3901.083032,,,,,,,,,,,,
24,10806,2.77,3901.083032,,,,,,,,,,,,
25,10806,2.77,3901.083032,,,,,,,,,,,,
26,10809,2.77,3902.166065,,,,,,,,,,,,
27,10806.5,2.77,3901.263538,,,,,,,,,,,,
28,10809,2.77,3902.166065,,,,,,,,,,,,
29,10809,2.77,3902.166065,,,,,,,,,,,,
30,10831,2.77,3910.108303,,,,,,,,,,,,
31,10832.5,2.77,3910.649819,,,,,,,,,,,,
32,10841,2.77,3913.718412,,,,,,,,,,,,
33,10849,2.77,3916.606498,,,,,,,,,,,,
34,10854,2.77,3918.411552,,,,,,,,,,,,
35,10856.5,2.78,3905.215827,,,,,,,,,,,,
36,10856.5,2.78,3905.215827,,,,,,,,,,,,
37,10859,2.78,3906.115108,,,,,,,,,,,,
38,10859,2.78,3906.115108,,,,,,,,,,,,
39,10859,2.78,3906.115108,,,,,,,,,,,,
40,10866.5,2.78,3908.81295,,,,,,,,,,,,
41,10866.5,2.78,3908.81295,,,,,,,,,,,,
42,10864,2.78,3907.913669,,,,,,,,,,,,
43,10866,2.78,3908.633094,,,,,,,,,,,,
44,10874,2.78,3911.510791,,,,,,,,,,,,
45,10874,2.78,3911.510791,,,,,,,,,,,,
46,10896,2.78,3919.42446,,,,,,,,,,,,
47,10889,2.78,3916.906475,,,,,,,,,,,,
48,10886.5,2.78,3916.007194,,,,,,,,,,,,
49,10889,2.78,3916.906475,,,,,,,,,,,,
50,10884,2.78,3915.107914,,,,,,,,,,,,
51,10879,2.78,3913.309353,,,,,,,,,,,,
52,10881.5,2.78,3914.208633,,,,,,,,,,,,
53,10880.5,2.78,3913.848921,,,,,,,,,,,,
54,10876.5,2.78,3912.410072,,,,,,,,,,,,
55,10879,2.78,3913.309353,,,,,,,,,,,,
56,10879,2.78,3913.309353,,,,,,,,,,,,
57,10874,2.78,3911.510791,,,,,,,30000,,,,,
58,10876,2.78,3912.230216,,,,2万人民币,1万,,,,,,,
59,10874,2.79,3897.491039,,,日期,mystock,富时中国A50,index-stock,,,,10914,2.78,10914
60,10874,2.79,3897.491039,,,227,10914,2.78,3925.899281,,,,10844,2.79,10844
61,10874,2.79,3897.491039,,,2018年5月10日,10844,2.79,3886.738351,,,,,,
62,10871,2.79,3896.415771,,,价差,-70,0.01,-39.16093,,,,,,
63,10871,2.79,3896.415771,,,交易乘数,1 ,"7,122 ",,,,,,,
64,10861.5,2.79,3893.010753,,,盈亏金额,-476.00 ,71.22 ,-547.2230216,,,,,,
65,10856.5,2.79,3891.218638,,,,,收益率,-1.82%,,,,,,
66,10854,2.79,3890.322581,,,,,,,,,,,,
67,10854,2.79,3890.322581,,,,,,,,,,,,
68,10849,2.79,3888.530466,,,,,,,,,,,,
69,10850,2.79,3888.888889,,,,,,,,,,,,
70,10850,2.79,3888.888889,,,,,,,,,,,,
71,10850,2.79,3888.888889,,,,,,,,,,,,
72,10846.5,2.79,3887.634409,,,,,,,,,,,,
73,10846.5,2.79,3887.634409,,,,,,,,,,,,
74,10844,2.79,3886.738351,,,,,,,,,,,,
75,10844,2.79,3886.738351,,,,,,,,,,,,
76,10844,2.79,3886.738351,,,,,,,,,,,,
77,10844,2.79,3886.738351,,,,,,,,,,,,
78,10841.5,2.79,3885.842294,,,,,,,,,,,,
79,10841.5,2.79,3885.842294,,,,,,,,,,,,
80,10841,2.79,3885.663082,,,,,,,,,,,,
81,10841.5,2.79,3885.842294,,,,,,,,,,,,
82,10844,2.79,3886.738351,,,,,,,,,,,,
83,10844,2.79,3886.738351,,,,,,,,,,,,
84,10846.5,2.79,3887.634409,,,,,,,,,,,,
